id,algorithm,hash,digest,signature,e,p,n,duration,return_code
798,0014,000b,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,a82ce0d22a21cdf6d5da9a5ee4b6f91baa3709addd3cca7e3801fc9b0aaa5459c1c8bf262e32e1f0dcdd5ea29dad3f09ced4e79c3fd8cda38628f51ff5b9386040923f79a3970c18f97248dd855943e45287e58144c1ed464e2993056bc37496da4b04e4f68d5c7c1abf7a637da5ab8bcb24838f0cdb9fe164931ac1b57077313170d8096b15168bb023b570e04c81bad966c7bc4dd98701ae2b3227cc49643a23fc7a6b00b6e801b9152438c286f5096a6be931c4f5299ed5bbf29679ddb54475c09eb1088c751868c7be5b0156c7e38717bcb58fa2102e514e9a4ce2c86f87ae4c26d1abc2e20f732d2a86e4f33a01bbf85a0cc265514aa6c67fb5da342953,010001,fb57e5591f840d2c28dcde17905001c7fcd2ba757f836c027bb01b1e99475ee198c9db8f3a479ed662ce23c81d37737f178d1c20594a80b582d454bff0ad77dca89fb5f102e280f1324b895ca3aebd0be6facb27eb99fe280b2b2e11e2ecb81b2fa00b82a78835c26fbdb885f9d340bf6bf0b6f62a65c910b76067dfba4d903d,c67857bbe9c96d3bd8311e2bea1ab15765e16cac3591861cb753f39f2f50877e32754af7806a66735635bd11c6cb1f2ab7f9d5526cf00a7009c4df38defa729c17fe70d85fe299a4da47087bf2f88a164b5749c8d749abdd361c752a797014aba2008799fc8b475479003fa9d8440f1caee4897c7a824b4ec5d67b88ddd1338891179bfba34d2c42410fdf0c94a86a13e80100a0bf91df6c6026413598e6c9b4ee3279c3b89be09f3121d19d234056ec328df9fc4ca36cbac41d236d8bc691b6bc6d39e21ab024d6fc1e90878329686ec48482ab2bf45da845d9d46c3dee599aedeff942a49513bb047b815c96e55aeb884cc12df5eeb8909ae3129a75d89e63,0.106518858,0000
799,0014,000b,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,a82ce0d22a21cdf6d5da9a5ee4b6f91baa3709addd3cca7e3801fc9b0aaa5459c1c8bf262e32e1f0dcdd5ea29dad3f09ced4e79c3fd8cda38628f51ff5b9386040923f79a3970c18f97248dd855943e45287e58144c1ed464e2993056bc37496da4b04e4f68d5c7c1abf7a637da5ab8bcb24838f0cdb9fe164931ac1b57077313170d8096b15168bb023b570e04c81bad966c7bc4dd98701ae2b3227cc49643a23fc7a6b00b6e801b9152438c286f5096a6be931c4f5299ed5bbf29679ddb54475c09eb1088c751868c7be5b0156c7e38717bcb58fa2102e514e9a4ce2c86f87ae4c26d1abc2e20f732d2a86e4f33a01bbf85a0cc265514aa6c67fb5da342953,010001,fb57e5591f840d2c28dcde17905001c7fcd2ba757f836c027bb01b1e99475ee198c9db8f3a479ed662ce23c81d37737f178d1c20594a80b582d454bff0ad77dca89fb5f102e280f1324b895ca3aebd0be6facb27eb99fe280b2b2e11e2ecb81b2fa00b82a78835c26fbdb885f9d340bf6bf0b6f62a65c910b76067dfba4d903d,c67857bbe9c96d3bd8311e2bea1ab15765e16cac3591861cb753f39f2f50877e32754af7806a66735635bd11c6cb1f2ab7f9d5526cf00a7009c4df38defa729c17fe70d85fe299a4da47087bf2f88a164b5749c8d749abdd361c752a797014aba2008799fc8b475479003fa9d8440f1caee4897c7a824b4ec5d67b88ddd1338891179bfba34d2c42410fdf0c94a86a13e80100a0bf91df6c6026413598e6c9b4ee3279c3b89be09f3121d19d234056ec328df9fc4ca36cbac41d236d8bc691b6bc6d39e21ab024d6fc1e90878329686ec48482ab2bf45da845d9d46c3dee599aedeff942a49513bb047b815c96e55aeb884cc12df5eeb8909ae3129a75d89e63,0.107356218,0000
800,0014,000b,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,a82ce0d22a21cdf6d5da9a5ee4b6f91baa3709addd3cca7e3801fc9b0aaa5459c1c8bf262e32e1f0dcdd5ea29dad3f09ced4e79c3fd8cda38628f51ff5b9386040923f79a3970c18f97248dd855943e45287e58144c1ed464e2993056bc37496da4b04e4f68d5c7c1abf7a637da5ab8bcb24838f0cdb9fe164931ac1b57077313170d8096b15168bb023b570e04c81bad966c7bc4dd98701ae2b3227cc49643a23fc7a6b00b6e801b9152438c286f5096a6be931c4f5299ed5bbf29679ddb54475c09eb1088c751868c7be5b0156c7e38717bcb58fa2102e514e9a4ce2c86f87ae4c26d1abc2e20f732d2a86e4f33a01bbf85a0cc265514aa6c67fb5da342953,010001,fb57e5591f840d2c28dcde17905001c7fcd2ba757f836c027bb01b1e99475ee198c9db8f3a479ed662ce23c81d37737f178d1c20594a80b582d454bff0ad77dca89fb5f102e280f1324b895ca3aebd0be6facb27eb99fe280b2b2e11e2ecb81b2fa00b82a78835c26fbdb885f9d340bf6bf0b6f62a65c910b76067dfba4d903d,c67857bbe9c96d3bd8311e2bea1ab15765e16cac3591861cb753f39f2f50877e32754af7806a66735635bd11c6cb1f2ab7f9d5526cf00a7009c4df38defa729c17fe70d85fe299a4da47087bf2f88a164b5749c8d749abdd361c752a797014aba2008799fc8b475479003fa9d8440f1caee4897c7a824b4ec5d67b88ddd1338891179bfba34d2c42410fdf0c94a86a13e80100a0bf91df6c6026413598e6c9b4ee3279c3b89be09f3121d19d234056ec328df9fc4ca36cbac41d236d8bc691b6bc6d39e21ab024d6fc1e90878329686ec48482ab2bf45da845d9d46c3dee599aedeff942a49513bb047b815c96e55aeb884cc12df5eeb8909ae3129a75d89e63,0.104545494,0000
801,0014,000b,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,a82ce0d22a21cdf6d5da9a5ee4b6f91baa3709addd3cca7e3801fc9b0aaa5459c1c8bf262e32e1f0dcdd5ea29dad3f09ced4e79c3fd8cda38628f51ff5b9386040923f79a3970c18f97248dd855943e45287e58144c1ed464e2993056bc37496da4b04e4f68d5c7c1abf7a637da5ab8bcb24838f0cdb9fe164931ac1b57077313170d8096b15168bb023b570e04c81bad966c7bc4dd98701ae2b3227cc49643a23fc7a6b00b6e801b9152438c286f5096a6be931c4f5299ed5bbf29679ddb54475c09eb1088c751868c7be5b0156c7e38717bcb58fa2102e514e9a4ce2c86f87ae4c26d1abc2e20f732d2a86e4f33a01bbf85a0cc265514aa6c67fb5da342953,010001,fb57e5591f840d2c28dcde17905001c7fcd2ba757f836c027bb01b1e99475ee198c9db8f3a479ed662ce23c81d37737f178d1c20594a80b582d454bff0ad77dca89fb5f102e280f1324b895ca3aebd0be6facb27eb99fe280b2b2e11e2ecb81b2fa00b82a78835c26fbdb885f9d340bf6bf0b6f62a65c910b76067dfba4d903d,c67857bbe9c96d3bd8311e2bea1ab15765e16cac3591861cb753f39f2f50877e32754af7806a66735635bd11c6cb1f2ab7f9d5526cf00a7009c4df38defa729c17fe70d85fe299a4da47087bf2f88a164b5749c8d749abdd361c752a797014aba2008799fc8b475479003fa9d8440f1caee4897c7a824b4ec5d67b88ddd1338891179bfba34d2c42410fdf0c94a86a13e80100a0bf91df6c6026413598e6c9b4ee3279c3b89be09f3121d19d234056ec328df9fc4ca36cbac41d236d8bc691b6bc6d39e21ab024d6fc1e90878329686ec48482ab2bf45da845d9d46c3dee599aedeff942a49513bb047b815c96e55aeb884cc12df5eeb8909ae3129a75d89e63,0.108066349,0000
802,0014,000b,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,a82ce0d22a21cdf6d5da9a5ee4b6f91baa3709addd3cca7e3801fc9b0aaa5459c1c8bf262e32e1f0dcdd5ea29dad3f09ced4e79c3fd8cda38628f51ff5b9386040923f79a3970c18f97248dd855943e45287e58144c1ed464e2993056bc37496da4b04e4f68d5c7c1abf7a637da5ab8bcb24838f0cdb9fe164931ac1b57077313170d8096b15168bb023b570e04c81bad966c7bc4dd98701ae2b3227cc49643a23fc7a6b00b6e801b9152438c286f5096a6be931c4f5299ed5bbf29679ddb54475c09eb1088c751868c7be5b0156c7e38717bcb58fa2102e514e9a4ce2c86f87ae4c26d1abc2e20f732d2a86e4f33a01bbf85a0cc265514aa6c67fb5da342953,010001,fb57e5591f840d2c28dcde17905001c7fcd2ba757f836c027bb01b1e99475ee198c9db8f3a479ed662ce23c81d37737f178d1c20594a80b582d454bff0ad77dca89fb5f102e280f1324b895ca3aebd0be6facb27eb99fe280b2b2e11e2ecb81b2fa00b82a78835c26fbdb885f9d340bf6bf0b6f62a65c910b76067dfba4d903d,c67857bbe9c96d3bd8311e2bea1ab15765e16cac3591861cb753f39f2f50877e32754af7806a66735635bd11c6cb1f2ab7f9d5526cf00a7009c4df38defa729c17fe70d85fe299a4da47087bf2f88a164b5749c8d749abdd361c752a797014aba2008799fc8b475479003fa9d8440f1caee4897c7a824b4ec5d67b88ddd1338891179bfba34d2c42410fdf0c94a86a13e80100a0bf91df6c6026413598e6c9b4ee3279c3b89be09f3121d19d234056ec328df9fc4ca36cbac41d236d8bc691b6bc6d39e21ab024d6fc1e90878329686ec48482ab2bf45da845d9d46c3dee599aedeff942a49513bb047b815c96e55aeb884cc12df5eeb8909ae3129a75d89e63,0.106676812,0000
803,0014,000b,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,a82ce0d22a21cdf6d5da9a5ee4b6f91baa3709addd3cca7e3801fc9b0aaa5459c1c8bf262e32e1f0dcdd5ea29dad3f09ced4e79c3fd8cda38628f51ff5b9386040923f79a3970c18f97248dd855943e45287e58144c1ed464e2993056bc37496da4b04e4f68d5c7c1abf7a637da5ab8bcb24838f0cdb9fe164931ac1b57077313170d8096b15168bb023b570e04c81bad966c7bc4dd98701ae2b3227cc49643a23fc7a6b00b6e801b9152438c286f5096a6be931c4f5299ed5bbf29679ddb54475c09eb1088c751868c7be5b0156c7e38717bcb58fa2102e514e9a4ce2c86f87ae4c26d1abc2e20f732d2a86e4f33a01bbf85a0cc265514aa6c67fb5da342953,010001,fb57e5591f840d2c28dcde17905001c7fcd2ba757f836c027bb01b1e99475ee198c9db8f3a479ed662ce23c81d37737f178d1c20594a80b582d454bff0ad77dca89fb5f102e280f1324b895ca3aebd0be6facb27eb99fe280b2b2e11e2ecb81b2fa00b82a78835c26fbdb885f9d340bf6bf0b6f62a65c910b76067dfba4d903d,c67857bbe9c96d3bd8311e2bea1ab15765e16cac3591861cb753f39f2f50877e32754af7806a66735635bd11c6cb1f2ab7f9d5526cf00a7009c4df38defa729c17fe70d85fe299a4da47087bf2f88a164b5749c8d749abdd361c752a797014aba2008799fc8b475479003fa9d8440f1caee4897c7a824b4ec5d67b88ddd1338891179bfba34d2c42410fdf0c94a86a13e80100a0bf91df6c6026413598e6c9b4ee3279c3b89be09f3121d19d234056ec328df9fc4ca36cbac41d236d8bc691b6bc6d39e21ab024d6fc1e90878329686ec48482ab2bf45da845d9d46c3dee599aedeff942a49513bb047b815c96e55aeb884cc12df5eeb8909ae3129a75d89e63,0.106476334,0000
804,0014,000b,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,a82ce0d22a21cdf6d5da9a5ee4b6f91baa3709addd3cca7e3801fc9b0aaa5459c1c8bf262e32e1f0dcdd5ea29dad3f09ced4e79c3fd8cda38628f51ff5b9386040923f79a3970c18f97248dd855943e45287e58144c1ed464e2993056bc37496da4b04e4f68d5c7c1abf7a637da5ab8bcb24838f0cdb9fe164931ac1b57077313170d8096b15168bb023b570e04c81bad966c7bc4dd98701ae2b3227cc49643a23fc7a6b00b6e801b9152438c286f5096a6be931c4f5299ed5bbf29679ddb54475c09eb1088c751868c7be5b0156c7e38717bcb58fa2102e514e9a4ce2c86f87ae4c26d1abc2e20f732d2a86e4f33a01bbf85a0cc265514aa6c67fb5da342953,010001,fb57e5591f840d2c28dcde17905001c7fcd2ba757f836c027bb01b1e99475ee198c9db8f3a479ed662ce23c81d37737f178d1c20594a80b582d454bff0ad77dca89fb5f102e280f1324b895ca3aebd0be6facb27eb99fe280b2b2e11e2ecb81b2fa00b82a78835c26fbdb885f9d340bf6bf0b6f62a65c910b76067dfba4d903d,c67857bbe9c96d3bd8311e2bea1ab15765e16cac3591861cb753f39f2f50877e32754af7806a66735635bd11c6cb1f2ab7f9d5526cf00a7009c4df38defa729c17fe70d85fe299a4da47087bf2f88a164b5749c8d749abdd361c752a797014aba2008799fc8b475479003fa9d8440f1caee4897c7a824b4ec5d67b88ddd1338891179bfba34d2c42410fdf0c94a86a13e80100a0bf91df6c6026413598e6c9b4ee3279c3b89be09f3121d19d234056ec328df9fc4ca36cbac41d236d8bc691b6bc6d39e21ab024d6fc1e90878329686ec48482ab2bf45da845d9d46c3dee599aedeff942a49513bb047b815c96e55aeb884cc12df5eeb8909ae3129a75d89e63,0.105641075,0000
805,0014,000b,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,a82ce0d22a21cdf6d5da9a5ee4b6f91baa3709addd3cca7e3801fc9b0aaa5459c1c8bf262e32e1f0dcdd5ea29dad3f09ced4e79c3fd8cda38628f51ff5b9386040923f79a3970c18f97248dd855943e45287e58144c1ed464e2993056bc37496da4b04e4f68d5c7c1abf7a637da5ab8bcb24838f0cdb9fe164931ac1b57077313170d8096b15168bb023b570e04c81bad966c7bc4dd98701ae2b3227cc49643a23fc7a6b00b6e801b9152438c286f5096a6be931c4f5299ed5bbf29679ddb54475c09eb1088c751868c7be5b0156c7e38717bcb58fa2102e514e9a4ce2c86f87ae4c26d1abc2e20f732d2a86e4f33a01bbf85a0cc265514aa6c67fb5da342953,010001,fb57e5591f840d2c28dcde17905001c7fcd2ba757f836c027bb01b1e99475ee198c9db8f3a479ed662ce23c81d37737f178d1c20594a80b582d454bff0ad77dca89fb5f102e280f1324b895ca3aebd0be6facb27eb99fe280b2b2e11e2ecb81b2fa00b82a78835c26fbdb885f9d340bf6bf0b6f62a65c910b76067dfba4d903d,c67857bbe9c96d3bd8311e2bea1ab15765e16cac3591861cb753f39f2f50877e32754af7806a66735635bd11c6cb1f2ab7f9d5526cf00a7009c4df38defa729c17fe70d85fe299a4da47087bf2f88a164b5749c8d749abdd361c752a797014aba2008799fc8b475479003fa9d8440f1caee4897c7a824b4ec5d67b88ddd1338891179bfba34d2c42410fdf0c94a86a13e80100a0bf91df6c6026413598e6c9b4ee3279c3b89be09f3121d19d234056ec328df9fc4ca36cbac41d236d8bc691b6bc6d39e21ab024d6fc1e90878329686ec48482ab2bf45da845d9d46c3dee599aedeff942a49513bb047b815c96e55aeb884cc12df5eeb8909ae3129a75d89e63,0.107518063,0000
806,0014,000b,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,a82ce0d22a21cdf6d5da9a5ee4b6f91baa3709addd3cca7e3801fc9b0aaa5459c1c8bf262e32e1f0dcdd5ea29dad3f09ced4e79c3fd8cda38628f51ff5b9386040923f79a3970c18f97248dd855943e45287e58144c1ed464e2993056bc37496da4b04e4f68d5c7c1abf7a637da5ab8bcb24838f0cdb9fe164931ac1b57077313170d8096b15168bb023b570e04c81bad966c7bc4dd98701ae2b3227cc49643a23fc7a6b00b6e801b9152438c286f5096a6be931c4f5299ed5bbf29679ddb54475c09eb1088c751868c7be5b0156c7e38717bcb58fa2102e514e9a4ce2c86f87ae4c26d1abc2e20f732d2a86e4f33a01bbf85a0cc265514aa6c67fb5da342953,010001,fb57e5591f840d2c28dcde17905001c7fcd2ba757f836c027bb01b1e99475ee198c9db8f3a479ed662ce23c81d37737f178d1c20594a80b582d454bff0ad77dca89fb5f102e280f1324b895ca3aebd0be6facb27eb99fe280b2b2e11e2ecb81b2fa00b82a78835c26fbdb885f9d340bf6bf0b6f62a65c910b76067dfba4d903d,c67857bbe9c96d3bd8311e2bea1ab15765e16cac3591861cb753f39f2f50877e32754af7806a66735635bd11c6cb1f2ab7f9d5526cf00a7009c4df38defa729c17fe70d85fe299a4da47087bf2f88a164b5749c8d749abdd361c752a797014aba2008799fc8b475479003fa9d8440f1caee4897c7a824b4ec5d67b88ddd1338891179bfba34d2c42410fdf0c94a86a13e80100a0bf91df6c6026413598e6c9b4ee3279c3b89be09f3121d19d234056ec328df9fc4ca36cbac41d236d8bc691b6bc6d39e21ab024d6fc1e90878329686ec48482ab2bf45da845d9d46c3dee599aedeff942a49513bb047b815c96e55aeb884cc12df5eeb8909ae3129a75d89e63,0.106086765,0000
807,0014,000b,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,a82ce0d22a21cdf6d5da9a5ee4b6f91baa3709addd3cca7e3801fc9b0aaa5459c1c8bf262e32e1f0dcdd5ea29dad3f09ced4e79c3fd8cda38628f51ff5b9386040923f79a3970c18f97248dd855943e45287e58144c1ed464e2993056bc37496da4b04e4f68d5c7c1abf7a637da5ab8bcb24838f0cdb9fe164931ac1b57077313170d8096b15168bb023b570e04c81bad966c7bc4dd98701ae2b3227cc49643a23fc7a6b00b6e801b9152438c286f5096a6be931c4f5299ed5bbf29679ddb54475c09eb1088c751868c7be5b0156c7e38717bcb58fa2102e514e9a4ce2c86f87ae4c26d1abc2e20f732d2a86e4f33a01bbf85a0cc265514aa6c67fb5da342953,010001,fb57e5591f840d2c28dcde17905001c7fcd2ba757f836c027bb01b1e99475ee198c9db8f3a479ed662ce23c81d37737f178d1c20594a80b582d454bff0ad77dca89fb5f102e280f1324b895ca3aebd0be6facb27eb99fe280b2b2e11e2ecb81b2fa00b82a78835c26fbdb885f9d340bf6bf0b6f62a65c910b76067dfba4d903d,c67857bbe9c96d3bd8311e2bea1ab15765e16cac3591861cb753f39f2f50877e32754af7806a66735635bd11c6cb1f2ab7f9d5526cf00a7009c4df38defa729c17fe70d85fe299a4da47087bf2f88a164b5749c8d749abdd361c752a797014aba2008799fc8b475479003fa9d8440f1caee4897c7a824b4ec5d67b88ddd1338891179bfba34d2c42410fdf0c94a86a13e80100a0bf91df6c6026413598e6c9b4ee3279c3b89be09f3121d19d234056ec328df9fc4ca36cbac41d236d8bc691b6bc6d39e21ab024d6fc1e90878329686ec48482ab2bf45da845d9d46c3dee599aedeff942a49513bb047b815c96e55aeb884cc12df5eeb8909ae3129a75d89e63,0.105783662,0000
808,0014,000b,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,a82ce0d22a21cdf6d5da9a5ee4b6f91baa3709addd3cca7e3801fc9b0aaa5459c1c8bf262e32e1f0dcdd5ea29dad3f09ced4e79c3fd8cda38628f51ff5b9386040923f79a3970c18f97248dd855943e45287e58144c1ed464e2993056bc37496da4b04e4f68d5c7c1abf7a637da5ab8bcb24838f0cdb9fe164931ac1b57077313170d8096b15168bb023b570e04c81bad966c7bc4dd98701ae2b3227cc49643a23fc7a6b00b6e801b9152438c286f5096a6be931c4f5299ed5bbf29679ddb54475c09eb1088c751868c7be5b0156c7e38717bcb58fa2102e514e9a4ce2c86f87ae4c26d1abc2e20f732d2a86e4f33a01bbf85a0cc265514aa6c67fb5da342953,010001,fb57e5591f840d2c28dcde17905001c7fcd2ba757f836c027bb01b1e99475ee198c9db8f3a479ed662ce23c81d37737f178d1c20594a80b582d454bff0ad77dca89fb5f102e280f1324b895ca3aebd0be6facb27eb99fe280b2b2e11e2ecb81b2fa00b82a78835c26fbdb885f9d340bf6bf0b6f62a65c910b76067dfba4d903d,c67857bbe9c96d3bd8311e2bea1ab15765e16cac3591861cb753f39f2f50877e32754af7806a66735635bd11c6cb1f2ab7f9d5526cf00a7009c4df38defa729c17fe70d85fe299a4da47087bf2f88a164b5749c8d749abdd361c752a797014aba2008799fc8b475479003fa9d8440f1caee4897c7a824b4ec5d67b88ddd1338891179bfba34d2c42410fdf0c94a86a13e80100a0bf91df6c6026413598e6c9b4ee3279c3b89be09f3121d19d234056ec328df9fc4ca36cbac41d236d8bc691b6bc6d39e21ab024d6fc1e90878329686ec48482ab2bf45da845d9d46c3dee599aedeff942a49513bb047b815c96e55aeb884cc12df5eeb8909ae3129a75d89e63,0.106288696,0000
809,0014,000b,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,a82ce0d22a21cdf6d5da9a5ee4b6f91baa3709addd3cca7e3801fc9b0aaa5459c1c8bf262e32e1f0dcdd5ea29dad3f09ced4e79c3fd8cda38628f51ff5b9386040923f79a3970c18f97248dd855943e45287e58144c1ed464e2993056bc37496da4b04e4f68d5c7c1abf7a637da5ab8bcb24838f0cdb9fe164931ac1b57077313170d8096b15168bb023b570e04c81bad966c7bc4dd98701ae2b3227cc49643a23fc7a6b00b6e801b9152438c286f5096a6be931c4f5299ed5bbf29679ddb54475c09eb1088c751868c7be5b0156c7e38717bcb58fa2102e514e9a4ce2c86f87ae4c26d1abc2e20f732d2a86e4f33a01bbf85a0cc265514aa6c67fb5da342953,010001,fb57e5591f840d2c28dcde17905001c7fcd2ba757f836c027bb01b1e99475ee198c9db8f3a479ed662ce23c81d37737f178d1c20594a80b582d454bff0ad77dca89fb5f102e280f1324b895ca3aebd0be6facb27eb99fe280b2b2e11e2ecb81b2fa00b82a78835c26fbdb885f9d340bf6bf0b6f62a65c910b76067dfba4d903d,c67857bbe9c96d3bd8311e2bea1ab15765e16cac3591861cb753f39f2f50877e32754af7806a66735635bd11c6cb1f2ab7f9d5526cf00a7009c4df38defa729c17fe70d85fe299a4da47087bf2f88a164b5749c8d749abdd361c752a797014aba2008799fc8b475479003fa9d8440f1caee4897c7a824b4ec5d67b88ddd1338891179bfba34d2c42410fdf0c94a86a13e80100a0bf91df6c6026413598e6c9b4ee3279c3b89be09f3121d19d234056ec328df9fc4ca36cbac41d236d8bc691b6bc6d39e21ab024d6fc1e90878329686ec48482ab2bf45da845d9d46c3dee599aedeff942a49513bb047b815c96e55aeb884cc12df5eeb8909ae3129a75d89e63,0.106480919,0000
810,0014,000b,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,a82ce0d22a21cdf6d5da9a5ee4b6f91baa3709addd3cca7e3801fc9b0aaa5459c1c8bf262e32e1f0dcdd5ea29dad3f09ced4e79c3fd8cda38628f51ff5b9386040923f79a3970c18f97248dd855943e45287e58144c1ed464e2993056bc37496da4b04e4f68d5c7c1abf7a637da5ab8bcb24838f0cdb9fe164931ac1b57077313170d8096b15168bb023b570e04c81bad966c7bc4dd98701ae2b3227cc49643a23fc7a6b00b6e801b9152438c286f5096a6be931c4f5299ed5bbf29679ddb54475c09eb1088c751868c7be5b0156c7e38717bcb58fa2102e514e9a4ce2c86f87ae4c26d1abc2e20f732d2a86e4f33a01bbf85a0cc265514aa6c67fb5da342953,010001,fb57e5591f840d2c28dcde17905001c7fcd2ba757f836c027bb01b1e99475ee198c9db8f3a479ed662ce23c81d37737f178d1c20594a80b582d454bff0ad77dca89fb5f102e280f1324b895ca3aebd0be6facb27eb99fe280b2b2e11e2ecb81b2fa00b82a78835c26fbdb885f9d340bf6bf0b6f62a65c910b76067dfba4d903d,c67857bbe9c96d3bd8311e2bea1ab15765e16cac3591861cb753f39f2f50877e32754af7806a66735635bd11c6cb1f2ab7f9d5526cf00a7009c4df38defa729c17fe70d85fe299a4da47087bf2f88a164b5749c8d749abdd361c752a797014aba2008799fc8b475479003fa9d8440f1caee4897c7a824b4ec5d67b88ddd1338891179bfba34d2c42410fdf0c94a86a13e80100a0bf91df6c6026413598e6c9b4ee3279c3b89be09f3121d19d234056ec328df9fc4ca36cbac41d236d8bc691b6bc6d39e21ab024d6fc1e90878329686ec48482ab2bf45da845d9d46c3dee599aedeff942a49513bb047b815c96e55aeb884cc12df5eeb8909ae3129a75d89e63,0.106608476,0000
811,0014,000b,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,a82ce0d22a21cdf6d5da9a5ee4b6f91baa3709addd3cca7e3801fc9b0aaa5459c1c8bf262e32e1f0dcdd5ea29dad3f09ced4e79c3fd8cda38628f51ff5b9386040923f79a3970c18f97248dd855943e45287e58144c1ed464e2993056bc37496da4b04e4f68d5c7c1abf7a637da5ab8bcb24838f0cdb9fe164931ac1b57077313170d8096b15168bb023b570e04c81bad966c7bc4dd98701ae2b3227cc49643a23fc7a6b00b6e801b9152438c286f5096a6be931c4f5299ed5bbf29679ddb54475c09eb1088c751868c7be5b0156c7e38717bcb58fa2102e514e9a4ce2c86f87ae4c26d1abc2e20f732d2a86e4f33a01bbf85a0cc265514aa6c67fb5da342953,010001,fb57e5591f840d2c28dcde17905001c7fcd2ba757f836c027bb01b1e99475ee198c9db8f3a479ed662ce23c81d37737f178d1c20594a80b582d454bff0ad77dca89fb5f102e280f1324b895ca3aebd0be6facb27eb99fe280b2b2e11e2ecb81b2fa00b82a78835c26fbdb885f9d340bf6bf0b6f62a65c910b76067dfba4d903d,c67857bbe9c96d3bd8311e2bea1ab15765e16cac3591861cb753f39f2f50877e32754af7806a66735635bd11c6cb1f2ab7f9d5526cf00a7009c4df38defa729c17fe70d85fe299a4da47087bf2f88a164b5749c8d749abdd361c752a797014aba2008799fc8b475479003fa9d8440f1caee4897c7a824b4ec5d67b88ddd1338891179bfba34d2c42410fdf0c94a86a13e80100a0bf91df6c6026413598e6c9b4ee3279c3b89be09f3121d19d234056ec328df9fc4ca36cbac41d236d8bc691b6bc6d39e21ab024d6fc1e90878329686ec48482ab2bf45da845d9d46c3dee599aedeff942a49513bb047b815c96e55aeb884cc12df5eeb8909ae3129a75d89e63,0.106477948,0000
812,0014,000b,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,a82ce0d22a21cdf6d5da9a5ee4b6f91baa3709addd3cca7e3801fc9b0aaa5459c1c8bf262e32e1f0dcdd5ea29dad3f09ced4e79c3fd8cda38628f51ff5b9386040923f79a3970c18f97248dd855943e45287e58144c1ed464e2993056bc37496da4b04e4f68d5c7c1abf7a637da5ab8bcb24838f0cdb9fe164931ac1b57077313170d8096b15168bb023b570e04c81bad966c7bc4dd98701ae2b3227cc49643a23fc7a6b00b6e801b9152438c286f5096a6be931c4f5299ed5bbf29679ddb54475c09eb1088c751868c7be5b0156c7e38717bcb58fa2102e514e9a4ce2c86f87ae4c26d1abc2e20f732d2a86e4f33a01bbf85a0cc265514aa6c67fb5da342953,010001,fb57e5591f840d2c28dcde17905001c7fcd2ba757f836c027bb01b1e99475ee198c9db8f3a479ed662ce23c81d37737f178d1c20594a80b582d454bff0ad77dca89fb5f102e280f1324b895ca3aebd0be6facb27eb99fe280b2b2e11e2ecb81b2fa00b82a78835c26fbdb885f9d340bf6bf0b6f62a65c910b76067dfba4d903d,c67857bbe9c96d3bd8311e2bea1ab15765e16cac3591861cb753f39f2f50877e32754af7806a66735635bd11c6cb1f2ab7f9d5526cf00a7009c4df38defa729c17fe70d85fe299a4da47087bf2f88a164b5749c8d749abdd361c752a797014aba2008799fc8b475479003fa9d8440f1caee4897c7a824b4ec5d67b88ddd1338891179bfba34d2c42410fdf0c94a86a13e80100a0bf91df6c6026413598e6c9b4ee3279c3b89be09f3121d19d234056ec328df9fc4ca36cbac41d236d8bc691b6bc6d39e21ab024d6fc1e90878329686ec48482ab2bf45da845d9d46c3dee599aedeff942a49513bb047b815c96e55aeb884cc12df5eeb8909ae3129a75d89e63,0.107957938,0000
